Obs #,Air Mass,Hour Angle,UT,Exposure,Note
123,1.173947,02:28:01.91,01:57:44.44,1s,I filter
124,,,,1s,r filter
125,,,,1s,g filter
126,,,,15s,u filter
127,,,,15s,u filter
128,,,,1s,u (trash)
129,1.178718,02:30:21.25,01:59:23.37,1s,I filter
130,,,,1s,r filter
131,,,,1s,g filter
132,,,,15s,u filter
133,,,,15s,u filter
134,1.183109,02:32:26.89,02:01:28.68,1s,I filter
135,,,,1s,I filter
136,,,,1s,r filter
137,,,,1s,g filter
138,,,,15s,u filter
139,,,,15s,u filter
140,1.191487,02:36:20.30,02:05:21.25,1s,I filter
141,,,,1s,r filter
142,,,,1s,g filter
143,,,,15s,u filter
144,,,,15s,u filter
145,1.194772,02:37:49.77,02:06:50.27,1s,I filter
146,,,,1s,r filter
147,,,,1s,g filter
148,,,,15s,u filter
149,,,,15s,u filter
150,1.199159,02:39:47.18,02:08:47.18,1s,I filter
151,,,,1s,r filter
152,,,,1s,g filter
153,,,,15s,u filter
154,,,,15s,u filter
155,,,,1s,I filter
156,,,,1s,r filter
157,,,,1s,g filter
158,,,,15s,u filter
159,,,,15s,u filter
160,1.202975,02:41:27.72,02:10:27.34,1s,I filter
161,,,,1s,r filter
162,,,,1s,g filter
163,,,,15s,u filter
164,,,,15s,u filter
165,,,,1s,I filter
166,,,,1s,r filter
167,,,,1s,g filter
168,,,,15s,u filter
169,,,,15s,u filter
170,1.208512,02:43:50.96,02:12:50.19,1s,I filter
171,,,,1s,r filter
172,,,,1s,g filter
173,,,,15s,u filter
174,,,,15s,u filter
175,,,,1s,I filter
176,,,,1s,r filter
177,,,,1s,g filter
178,,,,15s,u filter
179,,,,15s,u filter
180,,,,1s,I filter
181,,,,1s,r filter
182,,,,1s,g filter
183,,,,15s,u filter
184,,,,15s,u filter
185,,,,1s,I filter
186,,,,1s,r filter
187,,,,1s,g filter
188,,,,15s,u filter
189,,,,15s,u filter
190,1.214214,02:46:15.20,02:15:13.88,1s,I filter
191,,,,1s,r filter
192,,,,1s,g filter
193,,,,15s,u filter
194,,,,15s,u filter
195,,,,1s,I filter
196,,,,1s,r filter
197,,,,1s,g filter
198,,,,15s,u filter
199,,,,15s,u filter
200,,,,1s,I filter
201,,,,1s,r filter
202,,,,1s,g filter
203,,,,15s,u filter
204,,,,15s,u filter
205,,,,1s,I filter
206,,,,1s,r filter
207,,,,1s,g filter
208,,,,15s,u filter
209,,,,15s,u filter
210 - 229,1.222503,02:49:39.89,02:18:37.77,,sequence x4
230 - 279,1.232107,02:53:29.41,02:22:26.58,,sequence x 10
280 - 329,1.25262,03:01:15.43,02:30:11.07,,sequence x 10
330 - 379,1.273054,03:08:30.59,02:37:24.62,,sequence x 10
380 - 429,1.296308,03:16:14.85,02:45:06.99,,sequence x 10
430 - 479,1.332528,03:27:21.72,02:56:11.30,,sequence x 10
480,,,,,Everything before this image does not include the star! Doh!
481,,,,,r-band finding star
482,,,,,r-band found star
484 - 533,1.374968,,,,sequence x 10
534 - 583,1.403937,,,,sequence x 10
584 - 633,1.436851,,,,sequence x 10
634 - 683,1.4692,,,,sequence x 10
684 - 733,1.505339,,,,sequence x 10
734 - 783,1.545018,,,,sequence x 10
784 - 833,1.584464,,,,sequence x 10
834 - 1177,1.629556,,,,"Started sequence x 500, but stopped because the airmass reached 2"
1178 - 1228,,,,,1s darks
1231 - 1242,,,,,31s darks (can't select 15 sec for some reason)
1244 - 1273,,,,,21s darks (let's use 21 instead?)
1275 - 1305,,,,,15s darks (had to type it in.)
1306 - 1325,,,,,15s darks
